id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
98934,Monthly Apartment Recoleta,521351,Alfonsina,,Recoleta,-34.58955,-58.39057,Entire home/apt,10133,1,1,2011-08-09,0.01,1,365,0,
275832,Studio in Buenos Aires,1441510,Belén,,Balvanera,-34.60714,-58.39298,Private room,7238,6,0,,,1,365,0,
275933,Two bedrooms in Palermo Chico,419383,Mariana Y Sebas,,Palermo,-34.58044,-58.40753,Entire home/apt,9119,3,89,2022-03-03,0.69,7,281,2,
100080,Great downtown apartment!,526435,Laura,,San Nicolas,-34.604145,-58.388741,Entire home/apt,8000,3,23,2019-07-30,0.19,3,290,0,
278433,Art House Palermo 2 rooms,1011896,Natalia,,Palermo,-34.57945,-58.42914,Entire home/apt,27917,1,10,2022-07-15,0.08,12,365,1,
278637,PALERMO HOLLYWOOD LOFT,1011896,Natalia,,Palermo,-34.57768,-58.43042,Entire home/apt,19851,1,5,2022-02-28,0.04,12,365,1,
104343,*Faena Hotel Private VIP Luxury Studio*,542973,Three Capital,,Puerto Madero,-34.6022,-58.35541,Hotel room,23884,1,169,2022-09-20,1.29,1,321,27,
280564,Sunny/Cozy Loft Palermo! With Rooftop,1462651,Manuel,,Palermo,-34.57936,-58.42894,Entire home/apt,4588,12,8,2021-12-15,0.07,1,285,1,
106475,Artdecohouse Palermo,547581,Carol,,Recoleta,-34.58842,-58.40928,Entire home/apt,23160,3,123,2022-09-16,0.92,1,356,11,
281131,In Style Recoleta Buenos Aires,36441,Robert,,Recoleta,-34.59643,-58.39188,Entire home/apt,9988,3,51,2022-03-02,0.39,2,365,1,
107259,Great place to 12 Tango lovers,555693,Vittoria,,Balvanera,-34.60514,-58.3957,Entire home/apt,57756,1,32,2022-09-20,0.26,2,352,6,
281216,PRIVATE AND INDEPENDENT ROOM FULL,1354852,Pablo,,Almagro,-34.60012,-58.4159,Private room,4198,4,0,,,1,365,0,
