id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
19378584,Sitio Avó Bea - Quinta Monte Belo,133521845,Pedro,Vila Franca De Xira,Vila Franca de Xira,38.9644,-8.9976,Entire home/apt,108,2,15,2022-08-24,0.39,1,251,9,38821/AL
19603249,"Quarto    Duplo   WC  ,   Piscina Aquecida  28°",137735251,Edith,Sintra,Rio de Mouro,38.78324,-9.32297,Private room,25,2,30,2020-08-05,0.48,3,0,0,50186/AL
19607663,ZUZA VILLA ROSA with outdoor patio,53607985,ZUZABED (Luis Zuzarte),Lisboa,Misericrdia,38.71306,-9.15225,Entire home/apt,107,1,15,2022-08-23,0.31,24,343,12,
19485955,Green Room in family home near Belém & Monsanto,13565120,Margarida,Lisboa,Ajuda,38.710163,-9.201117,Private room,51,2,41,2022-08-10,0.65,4,346,21,48976/AL
19386235,Apartment in Historic Lisbon - Casa com Lisboa,55922649,Rui,Lisboa,Santa Maria Maior,38.71264,-9.14152,Entire home/apt,89,5,159,2022-08-22,2.50,1,225,16,78839/AL
19489425,Beach and Rural House,38439440,Isabel,Lourinh,Vimeiro,39.17793,-9.31717,Entire home/apt,45,5,23,2022-08-29,0.37,1,331,8,86372/AL
19493866,Pousada da Vila | Triple room,6789154,André,Mafra,Ericeira,38.96335,-9.41638,Private room,28,3,70,2022-09-13,1.11,5,202,17,28832/AL
19615422,Studio Ocean Drive,101517352,Johanna,Sintra,So Joo das Lampas e Terrugem,38.90926,-9.41371,Entire home/apt,120,2,47,2022-09-02,0.75,4,329,6,91628/AL
19615746,Cala Benirrás (1 bedroom) Apartment,101517352,Johanna,Sintra,So Joo das Lampas e Terrugem,38.90981,-9.41291,Entire home/apt,156,2,35,2022-09-06,0.56,4,260,1,91628/AL
19386399,Pateo da Eira,69690941,Silvina,Sintra,So Joo das Lampas e Terrugem,38.84809,-9.37831,Entire home/apt,150,3,3,2022-08-11,0.09,3,160,1,43893/AL e 43894/AL
19387429,"Sea La Vie House - Side Sea View (Parede, Cascais)",57788071,Paula & Joana,Cascais,Carcavelos e Parede,38.68702,-9.35295,Entire home/apt,75,4,64,2021-11-12,1.01,1,0,6,E-DCID/2017/11602
19617320,"Big room center, wc private.",137969584,Ana,Lisboa,Alvalade,38.75512,-9.15367,Private room,100,7,90,2019-11-26,1.43,1,365,0,
19496743,The Birds House,32898168,Fernando,Loures,"Santa Iria de Azoia, So Joo da Talha e Bobadela",38.84642,-9.09131,Entire home/apt,80,2,7,2022-08-07,0.20,3,341,3,123456787/AL
19497131,T0 El Cort,74482127,José,Lisboa,Avenidas Novas,38.73603314025174,-9.157336825265666,Entire home/apt,105,2,7,2019-05-14,0.11,5,151,0,63053/AL
19388065,Apartment with sea view in Praia das Maçãs,135916382,Andreas,Sintra,Colares,38.82712,-9.46993,Entire home/apt,41,3,121,2022-08-30,1.92,1,303,27,26274/AL
19712009,GiG Apartaments - Fishermen Beach2,133426698,GiG,Mafra,Ericeira,38.96547,-9.41814,Entire home/apt,120,2,19,2019-08-24,0.30,2,0,0,21593/AL
19502217,vivenda tina,44361135,Fernando,Lourinh,Reguengo Grande,39.27988,-9.22502,Entire home/apt,80,5,35,2022-08-27,0.56,1,161,4,79409/AL
19620902,Travellers house,15627735,Margarida,Lisboa,Misericrdia,38.70931,-9.1466,Entire home/apt,54,1,87,2022-09-03,1.40,2,180,8,50050/AL
19713383,NEW! Premium charm in Príncipe Real,138924784,Miguel,Lisboa,Santo Antnio,38.71613,-9.15451,Entire home/apt,240,3,23,2022-08-07,0.36,3,308,3,
19621250,São José Apartments in Lisbon City (Room 201),137249213,Sergio Raul,Lisboa,Santo Antnio,38.71906,-9.14277,Private room,50,1,198,2022-08-25,3.14,4,147,40,84631/AL
19502930,ENGY LUXURY APARTMENT,136947385,Miguel,Cascais,Cascais e Estoril,38.71194,-9.39676,Entire home/apt,160,2,4,2019-07-26,0.07,4,89,0,47689/AL
19504045,Casa M (M House)- Lovely Studio In Historic Center,136956713,Margarida,Lisboa,So Vicente,38.71544,-9.12383,Entire home/apt,73,3,56,2022-07-14,0.89,2,66,1,49255/AL
19713612,Private bedroom,47005828,Paula,Lisboa,Olivais,38.76166,-9.11472,Private room,28,3,20,2022-07-22,0.39,3,279,13,
19504892,Charming Apartment in the Heart of Lisbon,136966976,Diogo,Lisboa,Arroios,38.71528,-9.13859,Entire home/apt,112,4,123,2022-08-31,1.98,1,200,21,48037/AL
19505087,O Casalinho da Quinta da Caieira,136971075,Yolanda,Cascais,Cascais e Estoril,38.72521,-9.44346,Entire home/apt,95,4,56,2022-08-22,0.89,1,341,14,50465
19623821,Sunny and historical with a view 21952/AL,8781937,Patricia,Lisboa,So Vicente,38.71804,-9.12451,Entire home/apt,80,4,218,2022-09-11,3.47,3,309,51,21952/AL
19714342,Olivia - a room in the center of Lisbon,138932729,Antonio,Lisboa,Santa Maria Maior,38.71149,-9.14228,Private room,73,2,226,2022-08-29,3.66,2,329,49,83476/AL
19624504,Charming Apartment Castelo. Amazing Lisbon View,138044141,Sofia,Lisboa,Santa Maria Maior,38.7122,-9.13511,Entire home/apt,180,3,62,2022-08-23,0.98,1,283,39,
19628415,São José Apartments in Lisbon City (Room 202),137249213,Sergio Raul,Lisboa,Santo Antnio,38.71877,-9.14469,Private room,50,1,243,2022-09-01,3.84,4,137,55,84631/AL
19506517,The Red Jedi- Darth Vader,136987158,The Red Jedi,Lisboa,So Vicente,38.72173,-9.12388,Entire home/apt,119,3,4,2017-09-04,0.06,5,316,0,48808/AL
19513534,Q,72873886,Hm,Lisboa,Areeiro,38.74218,-9.13447,Private room,49,3,3,2018-05-12,0.05,2,308,0,
19716453,Carcavelos Beach Apartment,138942093,João,Cascais,Carcavelos e Parede,38.68502,-9.33007,Entire home/apt,89,2,23,2022-07-18,0.37,3,239,8,47690/AL
19632433,Garcia's House in Lourinhã,138135307,Helena,Lourinh,Lourinh e Atalaia,39.2278,-9.32626,Entire home/apt,35,1,50,2021-10-15,0.80,1,0,1,
19716698,Casa da Alice,138936843,António,Lisboa,Santo Antnio,38.71749,-9.15151,Entire home/apt,180,3,138,2022-07-31,2.22,1,208,24,50712/AL
19516054,In the hip and vibrant Chiado/Santa Catarina,5740943,Ana,Lisboa,Misericrdia,38.71123189485973,-9.147841163265985,Entire home/apt,78,2,107,2022-07-31,1.73,2,103,20,68060/AL
19718244,An amazing and modern apartment in Cascais,113806312,Saboia Collection,Cascais,Cascais e Estoril,38.70163,-9.43272,Entire home/apt,183,2,47,2022-09-04,0.76,4,254,12,41363/AL
19529395,"NEW, Modern Apartment Garden View - Principe Real",96200075,Zoia,Lisboa,Misericrdia,38.71612,-9.15293,Entire home/apt,125,1,150,2022-09-07,2.37,7,321,50,64358/AL
19530280,2 SUITES Stylish flat @Principe Real! Great WI-FI!,17457001,Joana,Lisboa,Santo Antnio,38.71782,-9.15161,Entire home/apt,226,2,88,2022-09-03,1.41,37,335,21,44311/AL
19634509,Picturesque Alfama apartment with AC,13828984,Miguel,Lisboa,Santa Maria Maior,38.71344,-9.12747,Entire home/apt,64,2,213,2022-08-29,3.40,6,181,58,49633/AL
19635433,Sweet Mouse Guest House,138168316,Pedro,Lisboa,Campo de Ourique,38.71993,-9.15684,Entire home/apt,93,1,156,2022-09-08,2.48,2,125,42,47967/AL
19718646,Gomes Freire Delight,688914,Luis,Cascais,Cascais e Estoril,38.69652,-9.42141,Entire home/apt,164,1,64,2022-07-29,1.02,37,248,15,49259/AL
19636220,Carcavelos Beach Apt,14354664,Claudia,Cascais,Carcavelos e Parede,38.68318,-9.3422,Entire home/apt,185,4,88,2022-09-09,1.39,2,48,19,E-DCID/2017/13851
19725265,Spacious CITY CENTER apartment with PRIVATE PATIO,139049636,Octávio And Gi,Lisboa,Misericrdia,38.71301,-9.15234,Entire home/apt,70,3,74,2022-09-08,1.18,1,92,5,47993/AL
19638059,Penthouse loft prime location,138194748,Lee,Lisboa,Misericrdia,38.71449,-9.15337,Entire home/apt,130,7,81,2022-04-17,1.28,1,346,4,
19539534,ALTIDO Sao Bento Delight,1756107,Altido,Lisboa,Misericrdia,38.71238,-9.1509,Entire home/apt,70,2,11,2020-03-08,0.18,199,0,0,46502/AL
19540166,Room in a country house at the heart of Lisbon,46864016,Maria,Lisboa,Penha de Frana,38.72393,-9.13088,Private room,35,2,87,2022-08-27,1.74,1,0,16,
19727412,Lovely city CENTER APARTMENT + 2 private PATIOS,139067832,Octávio And Gi,Lisboa,Misericrdia,38.7121,-9.15044,Entire home/apt,110,3,108,2022-08-30,1.73,1,112,20,47994/AL
19542344,Casa da Avó - historical center of Sintra,137264280,Villas De,Sintra,"S.Maria, S.Miguel, S.Martinho, S.Pedro Penaferrim",38.79941,-9.38805,Entire home/apt,117,1,6,2021-04-27,0.10,9,332,0,49328/AL
19639165,"LOFT  1     Suite  Familiar , Piscina Aquecida 28°",137735251,Edith,Sintra,Rio de Mouro,38.74726,-9.33621,Entire home/apt,65,2,26,2020-08-05,0.41,3,0,0,50186/AL
19728609,Spacious dorm 500 m beautiful walk from the beach,52683199,Jonatan,Mafra,Santo Isidoro,39.00896,-9.41673,Shared room,26,2,54,2022-08-05,0.87,5,7,6,48893/AL
19641654,Beach House Apartment in the Heart of Cascais,134134830,Nuno,Cascais,Cascais e Estoril,38.69715,-9.42488,Entire home/apt,144,3,62,2022-08-30,1.00,2,342,10,56667/AL
19545367,Casa da Tia,3177307,Claudia,Lisboa,Avenidas Novas,38.74158,-9.14915,Entire home/apt,95,2,49,2022-08-21,0.79,4,12,5,49038/AL
19729379,Estoril Beach Street,21932823,Rui,Cascais,Cascais e Estoril,38.70205,-9.39526,Entire home/apt,150,3,32,2022-08-30,0.51,1,0,10,49718/AL
19547616,lisbon.riverhouse,137311064,Isabel,Lisboa,Penha de Frana,38.72652,-9.1171,Entire home/apt,66,1,31,2019-11-03,0.49,1,0,0,
19731763,Luxury Oasis in Bairro Alto by LovelyStay,257927631,LovelyStay,Lisboa,Misericrdia,38.71275,-9.14751,Entire home/apt,227,2,128,2022-07-24,2.03,60,152,21,49150/AL
19548874,Cozy @ Martim Moniz,76127721,Nuno,Lisboa,Arroios,38.72078,-9.13809,Entire home/apt,171,2,163,2022-09-09,2.63,20,362,30,48926/AL
19645624,Palheiro AL para férias em Família,138280676,Guilherme,Sintra,Colares,38.79697,-9.47285,Entire home/apt,66,2,104,2022-08-30,1.67,1,298,18,49330/AL
19732445,Principe Real beautiful 3 bedrs flat! Great WI-FI!,17457001,Joana,Lisboa,Santo Antnio,38.71782,-9.15161,Entire home/apt,260,2,157,2022-09-02,2.50,37,314,45,44285/AL
19734306,"Cosy room (2 P), bathroom. Center. Metropolitan.",139136734,Helena,Lisboa,Alvalade,38.74941,-9.13518,Private room,32,2,106,2022-09-06,1.72,1,314,4,
19647159,Suite Bedroom close to Cascais Downtown,138291828,Toni,Cascais,Cascais e Estoril,38.70227,-9.4259,Private room,42,2,108,2022-09-10,1.71,2,54,44,47668/AL
